Time,Source/Cluster,Logfile/Deployment,dataSource.name,event.type,event.source,event.target,event.details,dataSource.vendor,endpoint.name,endpoint.type,dataSource.category,agent.version,agent.uuid,event.id,i.version,meta.event.name,mgmt.id,os.name,mgmt.url,mgmt.osRevision,packet.id,sca:RetentionType,session,threadId,threadName,trace.id,winEventLog.channel,winEventLog.data.event.eventData.accessList,winEventLog.data.event.eventData.accessMask,winEventLog.data.event.eventData.objectServer,winEventLog.data.event.eventData.objectName,winEventLog.data.event.eventData.newState,winEventLog.data.event.eventData.logonType,winEventLog.data.event.eventData.handleId,winEventLog.data.event.eventData.image,winEventLog.data.event.eventData.countOfCredentialsReturned,winEventLog.data.event.eventData.clientProcessId,winEventLog.data.event.eventData.categoryId,winEventLog.data.event.eventData.callerProcessName,winEventLog.data.event.eventData.callerProcessId,winEventLog.data.event.eventData.auditPolicyChanges,winEventLog.data.event.eventData.additionalInfo2,winEventLog.data.event.eventData.additionalInfo,winEventLog.xml,winEventLog.providerName,winEventLog.level,winEventLog.id,winEventLog.description.userid,winEventLog.description.securityId,winEventLog.description.accountDomain,winEventLog.description,winEventLog.data.event.xmlns,winEventLog.data.event.system.version,winEventLog.data.event.system.timeCreated.systemTime,winEventLog.data.event.system.task,winEventLog.data.event.system.security.userID,winEventLog.data.event.system.security,winEventLog.data.event.system.provider.name,winEventLog.data.event.system.provider.guid,winEventLog.data.event.system.opcode,winEventLog.data.event.system.level,winEventLog.data.event.system.keywords,winEventLog.data.event.system.execution.threadID,winEventLog.data.event.system.execution.processID,winEventLog.data.event.system.eventRecordID,winEventLog.data.event.system.eventID,winEventLog.data.event.system.correlation.activityID,winEventLog.data.event.system.correlation,winEventLog.data.event.system.computer,winEventLog.data.event.system.channel,winEventLog.data.event.eventData.utcTime,winEventLog.data.event.eventData.user,winEventLog.data.event.eventData.type,winEventLog.data.event.eventData.transactionId,winEventLog.data.event.eventData.targetUserSid,winEventLog.data.event.eventData.targetUserName,winEventLog.data.event.eventData.targetSid,winEventLog.data.event.eventData.targetName,winEventLog.data.event.eventData.targetDomainName,winEventLog.data.event.eventData.targetLogonId,winEventLog.data.event.eventData.subjectUserSid,winEventLog.data.event.eventData.subjectUserName,winEventLog.data.event.eventData.subjectLogonId,winEventLog.data.event.eventData.subjectDomainName,winEventLog.data.event.eventData.ruleName,winEventLog.data.event.eventData.returnCode,winEventLog.data.event.eventData.resourceManager,winEventLog.data.event.eventData.readOperation,winEventLog.data.event.eventData.properties,winEventLog.data.event.eventData.queryName,winEventLog.data.event.eventData.processName,winEventLog.data.event.eventData.processId,winEventLog.data.event.eventData.processGuid,winEventLog.data.event.eventData.processCreationTime,winEventLog.data.event.eventData.privilegeList,winEventLog.data.event.eventData.operationType,winEventLog.data.event.eventData.objectType,Raw log
08:12:35.212,,,Windows Event Logs,Windows Event Log Creation,,,,SentinelOne,Hope2,desktop,security,23.4.4.223,3b1118c3f5bc4688bb9a09a67869f48b,01J82QRWY95GMCP7EQJNYDBFG8_60,preprocess-lib-1.0,EVENTLOG,11633,Windows 10 Pro,usea1-purple.sentinelone.net,19045,A42705A105454D6A8591BDCDB094EBC2,SDL,,default,,01J82QRWY95GMCP7EQJNYDBFG8,Application,,,,,,,,,,,,,,,,,,Microsoft-Windows-Security-SPP,Information,16384,,,,Successfully scheduled Software Protection service for re-start at 2024-09-18T15:32:35Z. Reason: RulesEngine.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08:12:35.358,,,Windows Event Logs,Windows Event Log Creation,,,,SentinelOne,Kmans-NUC,desktop,security,23.4.4.223,33966dad606b44b09a69b6daedef27c0,01J82QRRWNQZMPVH8JY0VSSTQC_27,preprocess-lib-1.0,EVENTLOG,11633,Windows 11 Pro,usea1-purple.sentinelone.net,22631,2F153FB23AF54967B8547024D31E7E5D,SDL,,default,,01J82QRRWNQZMPVH8JY0VSSTQC,System,,,,,,,,,,,,,,,,,,Microsoft-Windows-HttpService,Information,114,,S-1-5-18,,"Removed URL (http://192.168.1.76:80:192.168.1.76/dial_1940/) from URL group (0xF900000420000004). Process Id 0x1168 Executable path \Device\HarddiskVolume3\Program Files\SentinelOne\Sentinel Agent 23.4.4.223\Ranger\SentinelRanger.exe, User S-1-5-18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08:12:35.359,,,Windows Event Logs,Windows Event Log Creation,,,,SentinelOne,Kmans-NUC,desktop,security,23.4.4.223,33966dad606b44b09a69b6daedef27c0,01J82QRRWNQZMPVH8JY0VSSTQC_28,preprocess-lib-1.0,EVENTLOG,11633,Windows 11 Pro,usea1-purple.sentinelone.net,22631,2F153FB23AF54967B8547024D31E7E5D,SDL,,default,,01J82QRRWNQZMPVH8JY0VSSTQC,System,,,,,,,,,,,,,,,,,,Microsoft-Windows-HttpService,Information,114,,S-1-5-18,,"Removed URL (http://192.168.1.76:80:192.168.1.76/dial_1942/) from URL group (0xF900000420000004). Process Id 0x1168 Executable path \Device\HarddiskVolume3\Program Files\SentinelOne\Sentinel Agent 23.4.4.223\Ranger\SentinelRanger.exe, User S-1-5-18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08:12:35.360,,,Windows Event Logs,Windows Event Log Creation,,,,SentinelOne,Kmans-NUC,desktop,security,23.4.4.223,33966dad606b44b09a69b6daedef27c0,01J82QRRWNQZMPVH8JY0VSSTQC_29,preprocess-lib-1.0,EVENTLOG,11633,Windows 11 Pro,usea1-purple.sentinelone.net,22631,2F153FB23AF54967B8547024D31E7E5D,SDL,,default,,01J82QRRWNQZMPVH8JY0VSSTQC,System,,,,,,,,,,,,,,,,,,Microsoft-Windows-HttpService,Information,114,,S-1-5-18,,"Removed URL (http://192.168.1.76:80:192.168.1.76/dial_1941/) from URL group (0xF900000420000004). Process Id 0x1168 Executable path \Device\HarddiskVolume3\Program Files\SentinelOne\Sentinel Agent 23.4.4.223\Ranger\SentinelRanger.exe, User S-1-5-18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08:12:35.361,,,Windows Event Logs,Windows Event Log Creation,,,,SentinelOne,Kmans-NUC,desktop,security,23.4.4.223,33966dad606b44b09a69b6daedef27c0,01J82QRRWNQZMPVH8JY0VSSTQC_30,preprocess-lib-1.0,EVENTLOG,11633,Windows 11 Pro,usea1-purple.sentinelone.net,22631,2F153FB23AF54967B8547024D31E7E5D,SDL,,default,,01J82QRRWNQZMPVH8JY0VSSTQC,System,,,,,,,,,,,,,,,,,,Microsoft-Windows-HttpService,Information,114,,S-1-5-18,,"Removed URL (http://192.168.1.76:80:192.168.1.76/dial_1943/) from URL group (0xF900000420000004). Process Id 0x1168 Executable path \Device\HarddiskVolume3\Program Files\SentinelOne\Sentinel Agent 23.4.4.223\Ranger\SentinelRanger.exe, User S-1-5-18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08:12:35.362,,,Windows Event Logs,Windows Event Log Creation,,,,SentinelOne,Kmans-NUC,desktop,security,23.4.4.223,33966dad606b44b09a69b6daedef27c0,01J82QRRWNQZMPVH8JY0VSSTQC_31,preprocess-lib-1.0,EVENTLOG,11633,Windows 11 Pro,usea1-purple.sentinelone.net,22631,2F153FB23AF54967B8547024D31E7E5D,SDL,,default,,01J82QRRWNQZMPVH8JY0VSSTQC,System,,,,,,,,,,,,,,,,,,Microsoft-Windows-HttpService,Information,114,,S-1-5-18,,"Removed URL (http://192.168.1.76:80:192.168.1.76/dial_1944/) from URL group (0xF900000420000004). Process Id 0x1168 Executable path \Device\HarddiskVolume3\Program Files\SentinelOne\Sentinel Agent 23.4.4.223\Ranger\SentinelRanger.exe, User S-1-5-18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08:12:36.230,,,Windows Event Logs,Windows Event Log Creation,,,,SentinelOne,Kmans-NUC,desktop,security,23.4.4.223,33966dad606b44b09a69b6daedef27c0,01J82QRRWNQZMPVH8JY0VSSTQC_32,preprocess-lib-1.0,EVENTLOG,11633,Windows 11 Pro,usea1-purple.sentinelone.net,22631,2F153FB23AF54967B8547024D31E7E5D,SDL,,default,,01J82QRRWNQZMPVH8JY0VSSTQC,System,,,,,,,,,,,,,,,,,,Microsoft-Windows-HttpService,Information,113,,S-1-5-18,,"Attempted to add URL (http://192.168.1.76:80:192.168.1.76/dial_1945/) to URL group (0xF900000420000004). Status: 0x0. Process Id 0x1168 Executable path \Device\HarddiskVolume3\Program Files\SentinelOne\Sentinel Agent 23.4.4.223\Ranger\SentinelRanger.exe, User S-1-5-18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08:12:36.231,,,Windows Event Logs,Windows Event Log Creation,,,,SentinelOne,Kmans-NUC,desktop,security,23.4.4.223,33966dad606b44b09a69b6daedef27c0,01J82QRRWNQZMPVH8JY0VSSTQC_33,preprocess-lib-1.0,EVENTLOG,11633,Windows 11 Pro,usea1-purple.sentinelone.net,22631,2F153FB23AF54967B8547024D31E7E5D,SDL,,default,,01J82QRRWNQZMPVH8JY0VSSTQC,System,,,,,,,,,,,,,,,,,,Microsoft-Windows-HttpService,Information,113,,S-1-5-18,,"Attempted to add URL (http://192.168.1.76:80:192.168.1.76/dial_1946/) to URL group (0xF900000420000004). Status: 0x0. Process Id 0x1168 Executable path \Device\HarddiskVolume3\Program Files\SentinelOne\Sentinel Agent 23.4.4.223\Ranger\SentinelRanger.exe, User S-1-5-18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08:12:36.539,,,Windows Event Logs,Windows Event Log Creation,,,,SentinelOne,Kmans-NUC,desktop,security,23.4.4.223,33966dad606b44b09a69b6daedef27c0,01J82QRRWNQZMPVH8JY0VSSTQC_35,preprocess-lib-1.0,EVENTLOG,11633,Windows 11 Pro,usea1-purple.sentinelone.net,22631,2F153FB23AF54967B8547024D31E7E5D,SDL,,default,,01J82QRRWNQZMPVH8JY0VSSTQC,System,,,,,,,,,,,,,,,,,,Microsoft-Windows-HttpService,Information,113,,S-1-5-18,,"Attempted to add URL (http://192.168.1.76:80:192.168.1.76/dial_1947/) to URL group (0xF900000420000004). Status: 0x0. Process Id 0x1168 Executable path \Device\HarddiskVolume3\Program Files\SentinelOne\Sentinel Agent 23.4.4.223\Ranger\SentinelRanger.exe, User S-1-5-18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08:12:36.844,,,Windows Event Logs,Windows Event Log Creation,,,,SentinelOne,Kmans-NUC,desktop,security,23.4.4.223,33966dad606b44b09a69b6daedef27c0,01J82QRRWNQZMPVH8JY0VSSTQC_36,preprocess-lib-1.0,EVENTLOG,11633,Windows 11 Pro,usea1-purple.sentinelone.net,22631,2F153FB23AF54967B8547024D31E7E5D,SDL,,default,,01J82QRRWNQZMPVH8JY0VSSTQC,System,,,,,,,,,,,,,,,,,,Microsoft-Windows-HttpService,Information,113,,S-1-5-18,,"Attempted to add URL (http://192.168.1.76:80:192.168.1.76/dial_1948/) to URL group (0xF900000420000004). Status: 0x0. Process Id 0x1168 Executable path \Device\HarddiskVolume3\Program Files\SentinelOne\Sentinel Agent 23.4.4.223\Ranger\SentinelRanger.exe, User S-1-5-18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
